nama orang,geb/overl.,id,actual id,Unnamed: 4,origin,birthYear,deathYear
"Kühnle, F., zdl",1887-1959,821,,,Germany,1887,1959
"Kuiper, ds. G.D.",1903-1974,822,,,Netherlands,1903,1974
"Kuipers, ds. Thomas",1890-1945,823,,,Netherlands,1890,1945
"Kuyper, zr. Joh. Hendrika",1875-1948,824,,,Netherlands,1875,1948
"Lagemann, Heinrich, zdl",1851-1933,825,,,Germany,1851,1933
"Lambooij, ds. Pieter J.",1896-1983,826,,,Netherlands,1896,1983
"Lambregtse, zr. J., diakones",,827,,,Netherlands,,
"Lammers, L., zdl",-1824,828,,,Netherlands,,1824
"Lampmann, Heinrich, zdl",1880-1967,830,,,Germany,1880,1967
"Lamprecht, mw. E.",1910-,831,,,Germany,1910,
"Land, G., zdl",1866-1942+,832,,,Netherlands,1866,1942+
"Land, zr. .",,833,,,Netherlands,,
"Landgrebe, Johann Paulus, zdl",1873-1944,834,,,Germany,1873,1944
"Landwehr, August",1864-1912,835,,,Germany,1864,1912
"Lange, Adrianus de, zdl",1842-1910,836,,,Netherlands,1842,1910
"Langenbruch, zr. Marta",1907-1971,837,,,Germany,1907,1971
"Langenmann, Marie",1880-1966,838,,,Germany,1880,1966
"Langeveld, Joh. Martinus, zdl",1909-1990,839,,,Netherlands,1909,1990
"Langeveld-Steller, Amanda A.C.",1905-1994,840,,,Netherlands,1905,1994
"Lasschuit, H., zdl",1878-1949,841,,,Netherlands,1878,1949
"Lategahn, Carl, zdl",1862-1943,842,,,Germany,1862,1943
"Latsch, Karl, zdl",1884-1940,843,,,Germany,1884,1940
"Lau, Frieda",1892-1949,844,,,Germany,1892,1949
"Lee, Rev. Edwin Ferd.",1884-1948,845,,,United States of America,1884,1948
"Leersum, C.P. van, arts",1901-1970,846,,,Netherlands,1901,1970
"Leij, Siebe van der, arts",1867-1938,847,,,Netherlands,1867,1938
"Leipoldt, Chr. Friedrich, zdl",1844-1911,848,,,Germany,1844,1911
"Lenk, zr. K.",1886-..,849,,,Germany,1886,..
"Lenn, Paul R.",±1905-,850,,,China,±1905,
"Lenz, Ludwig Wilhelm, zwm",1823-1856,851,,,Germany,1823,1856
"Lenz, zr. Regina",1893-1980,853,,,Germany,1893,1980
"Lergon, Luise",1852-1924,854,,,Germany,1852,1924
"Le Roy, J.E. (Anna)",,855,,,United States of America,,
"Lett, August, zdl",1861-1909,856,,,Germany,1861,1909
"Letteboer, J.H., zdl",1871-1929,857,,,Netherlands,1871,1929
"Leung, T.K.",±1905-,858,,,China,±1905,
"Leussen, Chr.J. van, arts",1896-1975,859,,,Netherlands,1896,1975
"Lever, mevr.",,860,,,Netherlands,,
"Lewandowsky, Ed. H., zdl",1870-1900,861,,,Germany,1870,1900
"Liefde, C.J. van de, zdl",1836-1898,862,,,Netherlands,1836,1898
"Limburg, A., ond.",1860-1924,863,,,Netherlands,1860,1924
"Linde, Sybolt van der, zdl",1902-1995,864,,,Netherlands,1902,1995
"Lindeboom, Lucas B., arts",1907-1981,866,,,Netherlands,1907,1981
"Linden, J.C. ter, zie Terlinden",,867,,,,,
"Linden, Corn. Dor. van der, zwm",1829-1855,868,,,Netherlands,1829,1855
"Linden, D.J. van der, zdl",1837-1885,870,,,Netherlands,1837,1885
"Linden, ds. J. van der",1907-1998,871,,,Netherlands,1907,1998
"Linden, zr. M. van der",,872,,,Netherlands,,
"Linemann, F.H., zdl",1815-1883,873,,,Germany,1815,1883
"Link, Andreas",1871-1938,874,,,Germany,1871,1938
"Link, Wilhelm, zdl",1902-1958,875,,,Germany,1902,1958
"Linn, C.Y. (Jason S.)",1903-1973+,876,,,China,1903,1973+
"Lock, zr. M.W.",1885-1969,877,,,Netherlands,1885,1969
"Lodder, dr. Johannes, arts",1900-1959,878,,,Netherlands,1900,1959
"Loeff, H.A., zdl",1878-1960,879,,,Netherlands,1878,1960
"Loewenstein, Hermann",1898-,880,,,Germany,1898,
"Loggen (sic), zr. Grada R. Gesina",1870-,881,,,Netherlands,1870,
"Lombeck, August H., zdl",1868-1941,882,,,Germany,1868,1941
"Looijenga, Martha",1883-,883,,,Netherlands,1883,
"Loois, H., verpleger",1884-1944,884,,,Netherlands,1884,1944
"Loosdrecht, A.A. van de, zdl",1885-1917,885,,,Netherlands,1885,1917
"Loots, zr. M., diacones",1889/0-1983,886,,,Netherlands,1889/0,1983
"Lörcher, W., zdl",1900-1982,887,,,Switzerland,1900,1982
"Lötz, Carl, zdl",1877-1932,888,,,Germany,1877,1932
"Louis, Maria, ond.",1866-,889,,,Germany,1866,
"Louwerier, D., zdl",1871-1932+,890,,,Netherlands,1871,1932+
"Louwerier, J., zdl",1840-1933,891,,,Netherlands,1840,1933
"Löwen, Peter, zdl.",1894-1955,892,,,Russia,1894,1955
"Lück, Albert,",1886-1942,893,,,Germany,1886,1942
"Luijendijk, ds. P.J.",1907-1985,894,,,Netherlands,1907,1985
"Luijke (Luyke) W., zdl",1796/7-1886 NZG,895,,,Netherlands,1796/7,1886 NZG
"Luinenburg, mw. D., ond.",1902-,896,,,Netherlands,1902,
"Luinenburg, O.",1899-,897,,,Netherlands,1899,
"Luinenburg, S., zdl",1874-1959,898,,,Netherlands,1874,1959
"Luitjes, Tjerk",1907-1989,899,,,Netherlands,1907,1989
"Lukkien, E.W.",1893-,900,,,Netherlands,1893,
"Lyman, Henry, zdl",1809-1834,901,,,United States of America,1809,1834
"Maan, G., zdl",1869-1954,902,,,Netherlands,1869,1954
"Mansell, Rev. Harry B.",1882-1956,903,,,United States of America,1882,1956
"Marcks, Otto, zdl",1875-1937,904,,,Germany,1875,1937
"Marle, T.G. van, arts",1874-,905,,,Netherlands,1874,
"Marsh, Lilian Frences",-1964,906,,,United Kingdom,,1964
"Marstaller, zr. Emilie",1911-1985,907,,,Switzerland,1911,1985
"Martin, Karl Alfred, zdl",1897-1971,908,,,Germany,1897,1971
"Mason, Emily Joy ()",1901-1970,909,,,Canada,1901,1970
"Mattern, A., zdl.",1806/7-'42,910,,,Germany,1806/7,'42
"Matthes, dr. Benjamin Fred.",1818-1908,911,,,Netherlands,1818,1908
"Matthews, Joseph B., ond.",1894-1966,912,,,United States of America,1894,1966
"Mayer, zr. Elisabeth",1904-1951,913,,,Germany,1904,1951
"McFerren, Rev. D.D.",,914,,,United States of America,,
"Means, Rev. Paul Banwell, ond.",1894-1980,915,,,United States of America,1894,1980
"Medhurst, Walter H., zdl",1796-1857,916,,,United Kingdom,1796,1857
"Meelhuysen, zr. M.W.",1916-1979,917,,,Netherlands,1916,1979
"Meerwaldt, Jac. Henr. sr., ond.",1854-1920,918,,,Netherlands,1854,1920
"Meerwaldt, Jac. Hendr. jr.",1887-1967,919,,,Netherlands,1887,1967
"Meeuwig, Joh. Hermanus, zdl",1839-±1923,920,,,Netherlands,1839,±1923
"Meijer, zr. J.M.J.",-1994+,921,,,Netherlands,,1994+
"Meijerink, H.J.W.A., ond.",1884-1959,922,,,Netherlands,1884,1959
"Meijwes (Meeuwes), Jan",1864-1955,923,,,Netherlands,1864,1955
"Meinders, zr. Elisabeth",1894-1962,924,,,Netherlands,1894,1962
"Meinefeld, Jutta",1903-1990,925,,,Germany,1903,1990
"Meis, Carl Wilhelm, zdl",1867-1922,926,,,Germany,1867,1922
"Meisel, Richard, zdl",1872-1946,927,,,Germany,1872,1946
"Meltzer, John Clinton, zdl",1906-1994,928,,,United States of America,1906,1994
"Menzel, Gustav, zdl",1908-1999,929,,,Germany,1908,1999
"Merkelijn, ds. Aart",1878-1943,930,,,Netherlands,1878,1943
"Mertin, zr. Hedwig",1896-1955,931,,,Germany,1896,1955
"Merwart, mw. Ph.A.M., ond.",1889-1943/5,932,,,Netherlands,1889,1943/5
"Metz, Judicus, zdl",1867-1944,933,,,Netherlands,1867,1944
"Metzler, Anna Elisabeth",1885-1985,934,,,Germany,1885,1985
"Metzler, Wilhelm, zdl",1847-1935,935,,,Germany,1847,1935
"Meyer/Meijer, dhr. G.",,936,,,Netherlands,,
"Meyer, zr. Gesina Johanna",1898-,937,,,Netherlands,1898,
"Meyer, zr. J.M.J., zie Meijer ",,938,,,,,
"Meyer, Otto, zdl",,939,,,Germany,,
"Michaelis, Johann L., zwm",±1828-1866,940,,,Germany,±1828,1866
"Michaelis, Oskar Paul, arts",1907,941,,,Germany,1907,
"Michel, Johannes K.K., zdl",1850-1915,942,,,Germany,1850,1915
"Michel, Wilhelm, zdl",1908-1968,943,,,Germany,1908,1968
"Mickelson, Einar, zdl",,944,,,United States of America,,
"Middelkoop, dr. Pieter",1895-1973,945,,,Netherlands,1895,1973
"Midtbö, Vincent  (Zie Synneva Vestheim, Alle dagen)",1922-1944,946,,,Scandinavia,1922,1944
"Miedema, drs. C. J., ond/verpl.",1908-1994,948,,,Netherlands,1908,1994
"Miedema, Jelle, arts",1897-1978,949,,,Netherlands,1897,1978
"Miedema, K., zdl",1904-1959,950,,,Netherlands,1904,1959
"Miesen, J.H.W. van der, zdl",1873-1936+,951,,,Netherlands,1873,1936+
"Mikat, Anna",1885-1969,952,,,Germany,1885,1969
"Milne, William, zdl",1785-1822,953,,,United Kingdom,1785,1822
"Mindermann, Brüne, zdl",1872-1960,954,,,Germany,1872,1960
"Minkhorst, J.H., ond.",1894-1943,955,,,Netherlands,1894,1943
"Mitchell, Hubert.",1907-1995,956,,,United States of America,1907,1995
"Mittelstädt, Kurt E.",1901-1984,957,,,Germany,1901,1984
"Miyahira, Shusho/Hidemata ()",1904-1976,958,,,Japan,1904,1976
"Mobach, Tjebbe, ond.",1890-1983,959,,,Netherlands,1890,1983
"Moens, Hendrik P., zwm",1831-1882,960,,,Netherlands,1831,1882
"Mohri, August",1835-1897,961,,,Germany,1835,1897
"Mol, zr. Gerritje",1873-1929,962,,,Netherlands,1873,1929
"Mol, Pieter Gerrit",1878-1907,963,,,Netherlands,1878,1907
"Mol van Otterloo, A. de,",1893-1965+,964,,,Netherlands,1893,1965+
"Mollema, G.W.M., zdl",1903-1950,965,,,Netherlands,1903,1950
"Möller, Daniel",1879-1954,966,,,Germany,1879,1954
"Möller, Friedrich",1907-1982,968,,,Germany,1907,1982
"Möller, Julius, arts",1884-1942,969,,,Germany,1884,1942
"Momeyer, August",1868-1941,970,,,Germany,1868,1941
"Mooy/ij, Jacoba, ond.",,971,,,Netherlands,,
"Morken, David E.",1910-2003,972,,,United States of America,1910,2003
"Mosche, C.F.F. , zwm",1840-1868,973,,,Germany,1840,1868
"Motte, Georges ()",±1900-1971+,974,,,Belgium,±1900,1971+
"Mouw, J. Arthur, zdl",1903-1987,975,,,United States of America,1903,1987
"Mühlnickel, J.G. Adolph, zwm",1822-1897,976,,,Germany,1822,1897
"Mühlnickel, August, zwm",1826-1859,977,,,Germany,1826,1859
"Muijs, zr. Hendrika Cornelia",1901-1995,978,,,Netherlands,1901,1995
"Muis, J.J., zdl",1868-1945,979,,,Netherlands,1868,1945
"Mulder, J., ond.",,980,,,Netherlands,,
"Muller, D., zdl",1777/8-1826,981,,,Switzerland,1777/8,1826
"Muller, Marinus Gerard, arts",1894-1981,982,,,Netherlands,1894,1981
"Müller, Eduard, zdl",1879-1937+,983,,,Germany,1879,1937+
"Müller, H., zdl",1866-1923+,985,,,Germany,1866,1923+
"Müller, H., zdl",,987,,,Netherlands,,
"Müller, H. zdl",1895-,989,,,Switzerland,1895,
"Müller, W., zdl",1898-1934,991,,,Germany,1898,1934
"Müller, Wilhelm, zdl",1878-1942,992,,,Germany,1878,1942
"Müller, Wilhelm, zdl",1905-1976,993,,,Germany,1905,1976
"Müller-Krüger, dr. Th.",1902-1980,994,,,Germany,1902,1980
"Munk, Jan Carel, ond.",1881-1928,995,,,Netherlands,1881,1928
"Munnik, Franciscus de, zdl",1865-1938,996,,,Netherlands,1865,1938
"Munson, Albert",1890-1979,997,,,United States of America,1890,1979
"Munson, Melvin",1889-1961,998,,,United States of America,1889,1961
"Munson, Ralph Waldo",1840-1934,999,,,United States of America,1840,1934
"Munson, Samuel, zdl",1804-1834,1000,,,United States of America,1804,1834
"Munters, zr. Nic. Helena",1909-,1001,,,Netherlands,1909,
"Muyen/Muijen, zr. Maria van",1892-1988,1002,,,Netherlands,1892,1988
"Muylwijk, J. van, zdl",1881-1945,1003,,,Netherlands,1881,1945
"Muylwijk, zr. Joh. Adr. Maria",1903-,1004,,,Netherlands,1903,
"Muijs/Muys, zr. Hendr. Clasina",1901-,1005,,,Netherlands,1901,
"Myers, Ms. Mary, ond.",1866-,1006,,,United States of America,1866,
"Nachtigal, Peter, zdl.",1881-1928,1007,,,Russia,1881,1928
"Nauta, H.J., ond.",1881-1945,1008,,,Netherlands,1881,1945
"Neef, A.J. de, zdl",1892-1948,1009,,,Netherlands,1892,1948
"Needham, Hester",1843-1897,1010,,,United Kingdom,1843,1897
"Neef, N. de, ond.",1884-1974,1011,,,Netherlands,1884,1974
"Nes, ds. C. van",1906-1988,1012,,,Netherlands,1906,1988
"Netelenbos, ds. Lambertus",1876-1955,1013,,,Netherlands,1876,1955
"Netelenbos, zr. Wilh. Hendr.",1879-1964,1014,,,Netherlands,1879,1964
"Neubronner, zie Tuuk, van der",,1015,,,,,
"Neumann, J.H., zdl",1876-1949,1016,,,Netherlands,1876,1949
"Neumann, Margarethe",1869-,1017,,,Germany,1869,
"Nevius, Elbert S.",1808-1897,1018,,,United States of America,1808,1897
"Nieboer, zr. Hilke",1899-1996,1019,,,Netherlands,1899,1996
"Nicholls, Ms. Lee Edna",1880-1951?,1020,,,United States of America,1880,1951?
"Nielsen, Clara, ond.",1910-1993,1021,,,Germany,1910,1993
"Niemann, Edward Ward",1908-1999,1022,,,Germany,1908,1999
"Niemann, Lisette",1850-1921,1023,,,Germany,1850,1921
"Niephaus, Heinrich, zdl",1875-1933,1024,,,Germany,1875,1933
"Niet, mr. Maarten de",1904-1979,1025,,,Netherlands,1904,1979
"Niet, zr. Maria Adriana de",1897-1989,1026,,,Netherlands,1897,1989
"Niet, G.D.W. te, zwm (ond.)",1825-1905,1027,,,Netherlands,1825,1905
"Nieuwenhuizen, zr. C.W. van",,1028,,,Netherlands,,
"Nijenhuis, J.H.D., zdl",1893-1944,1029,,,Netherlands,1893,1944
"Nikkel, Gerhard, zdl.",1861-1932,1030,,,Russia,1861,1932
"Niks, J.F., zdl",1843-1930,1031,,,Netherlands,1843,1930
"Noll, Johannes, zdl",1869-1954,1032,,,Germany,1869,1954
"Nommensen, Ingwer L., zdl",1834-1918,1033,,,Germany,1834,1918
"Nommensen, Jon. Tim., zdl",1873-1950,1034,,,Germany,1873,1950
"Nonnenberg, Rudolf H.K., ond.",1903-1971,1035,,,Germany,1903,1971
"Noordhoff, G. (O-Friesl.), zdl",1801/2-'42,1036,,,Germany,1801/2,'42
"Noordzij, Willem A., ond.",1892-1942/5,1038,,,Netherlands,1892,1942/5
"Noort, A.C., ond.",1906-1982,1039,,,Netherlands,1906,1982
"Noort, Rev. J. van den",,1040,,,United States of America,,
"Nooy, H.W., zdl",1825-1853,1041,,,Netherlands,1825,1853
"Noppen, L.M. van, zdl",1887-1943,1042,,,Netherlands,1887,1943
"Nortier, dr. Adriaan, arts",1885-1940,1043,,,Netherlands,1885,1940
"Nortier, C.W., zdl",1888-1963,1044,,,Netherlands,1888,1963
"Noteboom, L., arts",,1045,,,Netherlands,,
"Notten, Diederik Theod., ond.",1882-1936,1046,,,Netherlands,1882,1936
"Nusteeg, zr. A.",1880/1-1964,1047,,,Netherlands,1880/1,1964
"Oechsli, Rev. Leonard",1885-1955,1048,,,United States of America,1885,1955
"Oelschlaeger, Ms. Louise",,1049,,,United States of America,,
"Offringa, Joh., arts",1883-1950,1050,,,Netherlands,1883,1950
"Ohme, B.O.",1880-1945,1051,,,Germany,1880,1945
"Olesen, Ms. E., ond.",,1052,,,United States of America,,
"Onvlee, dr. Louis",1893-1986,1053,,,Netherlands,1893,1986
"Ooms, Antje, ond.",1889-1979,1054,,,Netherlands,1889,1979
"Oosterhuis, Jan W., arts",1884-1955,1055,,,Netherlands,1884,1955
"Oosterveen, Harm, arts",1908-1944,1056,,,Netherlands,1908,1944
"Orlopp, zr. Maria",1901-1994,1057,,,Germany,1901,1994
"Ormel, zr. J.Th.",1913-1961,1058,,,Netherlands,1913,1961
"Ostrom, Rev. Egon ()",1903-1945,1059,,,Sweden,1903,1945
"Otterspoor, W., zdl.",1840-1869,1060,,,Netherlands,1840,1869
"Ottow, C.W., zwm",1826-1862,1062,,,Germany,1826,1862
"Ottow, J.C.G., zdl/ond.",1861-1945,1063,,,Netherlands,1861,1945
"Ottow, M.",1898-1983,1064,,,Netherlands,1898,1983
"Pakianathan, Solomon Swa­mi­dason",1881-1962,1065,,,South India,1881,1962
"Palm, mw. H.M.",,1067,,,Netherlands,,
"Panman, zr. Anna Joh. Helena",1893-1980,1068,,,Netherlands,1893,1980
"Pape, Franz, zwm",±1833-1874+,1069,,,Germany,±1833,1874+
"Papendick, Margarete",1884-1960,1070,,,Germany,1884,1960
"Patterson, W.W.m zdl.",,1071,,,United States of America,,
"Pattison, L.O.",,1072,,,United States of America,,
"Peddemors, Willem, arts",1906-1997,1073,,,Netherlands,1906,1997
"Pelzer, zr. Margarethe",1909-1948,1074,,,Germany,1909,1948
"Pennings, Abr., zdl",1875-1966,1075,,,Netherlands,1875,1966
"Pennings, Ant.A., zdl",1870-1902,1076,,,Netherlands,1870,1902
"Perdok, Hindrik, zdl",1908-1979,1077,,,Netherlands,1908,1979
"Perkins, Rev. Raymond G.",1884-,1078,,,United States of America,1884,
"Phillips, Joseph Luxford, zdl",1783-1820,1079,,,United Kingdom,1783,1820
"Piccer, Johanna",1887-1945,1080,,,Netherlands,1887,1945
"Pichler, Aug. R. Erich, zdl",1883-1965,1081,,,Germany,1883,1965
"Pieper, Adolf, zdl",1882-1929,1082,,,Germany,1882,1929
"Pieron, ds. Alle Fred. Joh.  zie GZbl 1940, 63",1908-1944,1083,,,Netherlands,1908,1944
"Pieters, Jan Hendrik, zdl",1883/4-1978,1085,,,Netherlands,1883/4,1978
"Pieters, zr. T.",,1086,,,Netherlands,,
"Pijsel, mw. A., arts",1878-1929,1087,,,Netherlands,1878,1929
"Pik, J., zdl",1881-1955,1088,,,Netherlands,1881,1955
"Pilgenröder, Adolf, zdl",1869-1949,1089,,,Germany,1869,1949
"Pilgram, Gustav, zdl",1848-1913,1090,,,Germany,1848,1913
"Pilon, Pieter J.J.R.T. arts",1883-1958,1091,,,Netherlands,1883,1958
"Pinckney, Charles E., arts",,1092,,,United States of America,,
"Pistor, Paula Bauszat-",1877-1948,1093,,,Germany,1877,1948
"Pistor, Ruth",1905-1997,1094,,,Germany,1905,1997
"Plaum, Wilhelm, zdl.",1905-,1095,,,Germany,1905,
"Ploeger, Albertus, zdl",1905-1986,1096,,,Netherlands,1905,1986
"Ploegman, W.F., ond.",1805-1873,1097,,,Netherlands,1805,1873
"Poel, J. van der, zdl",1892-1972,1098,,,Netherlands,1892,1972
"Poensen, C., zdl",1836-1919,1099,,,Netherlands,1836,1919
"Pohlig, Peter, zdl",1860-1915,1100,,,Germany,1860,1915
"Pohlmann, William J., zdl",,1101,,,United States of America,,
"Pol, H., zdl.",1898-1972,1102,,,Netherlands,1898,1972
"Polet, Willem Hendrik",1895-1992,1103,,,Netherlands,1895,1992
"Pontier, zr. Paulina Johanna",1885-1918,1104,,,Netherlands,1885,1918
"Poot, A., zdl",1901-1978,1105,,,Netherlands,1901,1978
"Poppy, Jemima, ond.",1818-1869,1106,,,United Kingdom,1818,1869
"Por, zr. G.",1888-,1107,,,Netherlands,1888,
"Pos, ds. A.",1888-1971,1108,,,Netherlands,1888,1971
"Pos, ds. W.",1856/7-1914,1109,,,Netherlands,1856/7,1914
"Post, Harry W., zdl",,1110,,,United States of America,,
"Post, Walter M., zdl",,1111,,,United States of America,,
"Postema, zr. Etje",1906-,1112,,,,1906,
"Postema, zr. Trijntje  (GZbl 1939, 255)",1912-,1113,,,Netherlands,1912,
"Poutiainen, Toivo ()",±1900-'38,1115,,,Finland,±1900,'38
"Präger-Lenk, zie Lenk",,1116,,,,,
"Presswood, W. Ernest, zdl ()",1908-1946,1117,,,Canada,1908,1946
"Prins, D.C., zdl",1888-1945,1118,,,Netherlands,1888,1945
"Prins-Hardeman, B.A., ond.",1888-1967,1119,,,Netherlands,1888,1967
"Prins, zr. Jantje, verpl.",1890-,1120,,,Netherlands,1890,
"Probst, Karl, zdl",1865-1918,1121,,,Germany,1865,1918
"Proosdij, C. van, arts",1887-1949,1122,,,Netherlands,1887,1949
"Proud, R. ()",,1123,,,United Kingdom,,
"Pruijs, dr. Hendrik Simon, arts",1866-1944/5,1124,,,Netherlands,1866,1944/5
"Pruijs, Willem Marie, arts",1901-1982,1125,,,Netherlands,1901,1982
"Pruis, dr. Geert Wl .Adr, arts",1899-1959,1126,,,Netherlands,1899,1959
"Prüsener, Franziska",1874-1953,1127,,,Germany,1874,1953
"Prussner, A.H., arts",1884-1947,1128,,,United States of America,1884,1947
"Puik, Rijk, ond.",1908-,1129,,,Netherlands,1908,
"Püschel, Agnes A.S., ond.",1887-1961,1130,,,Germany,1887,1961
"Püse, Heinrich, zdl",1841-1920,1131,,,Germany,1841,1920
"Put, Lulof Hendrik, zdl",1911-1956,1132,,,Netherlands,1911,1956
"Putten, Marius van, ond.",1888-1975,1133,,,Netherlands,1888,1975
"Pykett, Rev. G.F.",,1134,,,United States of America,,
"Quentmeyer, Ernst, zdl",1875-1962,1135,,,Germany,1875,1962
"Quistorp, Hanna",1893-1981,1136,,,Germany,1893,1981
"Raatschen, Heinrich, zdl",1901-1945,1137,,,Germany,1901,1945
"Rabeneck, Heinrich, zdl",1875-1939,1138,,,Germany,1875,1939
"Rade, Lisbeth A.D.",1893-1956,1139,,,Germany,1893,1956
"Rado, Tabor, arts",1893-1926+,1140,,,Hungary,1893,1926+
"Ramaker, D.",1890-,1141,,,Netherlands,1890,
"Randwijck, S.C. Graaf van",1901-1997,1142,,,Netherlands,1901,1997
"Raycroft, Ms. Ruby A., ond.",,1143,,,United States of America,,
"Rebuschat, Gustav, zdl",1905-1984,1144,,,Germany,1905,1984
"Redinger, June E., ond.",,1145,,,United States of America,,
"Reenen, ds. G.J. van",1905-1964,1146,,,Netherlands,1905,1964
"Reichler, Frieda",1900-1978,1147,,,Germany,1900,1978
"Reichl, zr. Marianne",1913-1950,1148,,,Germany,1913,1950
"Reinartz, Hildegard, ond.",1900-1969,1149,,,Germany,1900,1969
"Reinshagen, Amalie",1862-?,1150,,,Germany,1862,?
"Reiter, H., zdl",1896-1942,1151,,,Germany,1896,1942
"Reitze, Heinrich, zdl",1862-1938,1152,,,Germany,1862,1938
"Renes, G.J., arts",1914?-1986?,1153,,,Netherlands,1914?,1986?
"Renes, Jan, ond.",1899-1970,1154,,,Netherlands,1899,1970
"Renken, Anton, zdl",1859-1928,1155,,,Germany,1859,1928
"Reynhout, J., ond.",1899-1997,1156,,,Netherlands,1899,1997
"Richert, zr. Susanna",,1157,,,Russia,,
"Richter, W. , zwm",1823-1885,1158,,,Germany,1823,1885
"Riedel, J.F., zdl",1798-1860,1159,,,Germany,1798,1860
"Riedel, Karl , zdl",1892-1953,1160,,,Germany,1892,1953
"Rienecker, Pauline Helene",1876-1922,1161,,,Germany,1876,1922
"Rihs, Arnold, zdl",1907-1981,1162,,,Switzerland,1907,1981
"Rijkhoek, Daniël, zdl",1887-1970,1163,,,Netherlands,1887,1970
"Rijkhoek, Jannetje Maria  (Jean­nette)",1894-1974,1164,,,Netherlands,1894,1974
"Rijn, Christiaan van, zdl",,1166,,,Netherlands,,
"Rinck, zr. Wilh. Chr.",1905-,1167,,,Netherlands,1905,
"Rinnooij, Nicolaas, zdl",1841-1913,1168,,,Netherlands,1841,1913
"Ritsema, J., zdl",1884-1950,1169,,,Netherlands,1884,1950
"Rittich, Robert",1892-1973,1171,,,Germany,1892,1973
"Robinson, William, zdl",1784-1853,1172,,,United Kingdom,1784,1853
"Röder, H., bouwkundige",1901-1970,1173,,,Germany,1901,1970
"Roepman, zr. Elizabeth Maria",1880-,1174,,,Netherlands,1880,
"Roest Jr, C. van der, drukker",1874 -1926,1175,,,Netherlands,1874,1926
"Roest, J.L.D. van der, zdl",1867-1950,1176,,,Netherlands,1867,1950
"Rohde, Eleonora C.",1891-1970?,1177,,,United States of America,1891,1970?
"Rolff, zr. C.W., diacones",1885/6-1976,1178,,,Netherlands,1885/6,1976
"Rooker, Hessel, zdl",1830-1915,1179,,,Netherlands,1830,1915
"Rooker, J.H. zie Hiebink R.",,1180,,,,,
"Roorda van Eysinga, zr. H.J.",1903-1996,1181,,,Netherlands,1903,1996
"Roose, zr. Corn. Mart., diacones",1881-1961,1182,,,Netherlands,1881,1961
"Rooseboom, Jacominus Arn., zdl",1901-1971,1183,,,Netherlands,1901,1971
"Rooy, zr. M.J. de",,1184,,,Netherlands,,
"Rosenlund, Edward ()",-1939,1185,,,Finland,,1939
"Roskes, J.W., zdl",1843-1918,1186,,,Netherlands,1843,1918
"Roskott, B.N.J., ond.",1811-1873,1187,,,Germany,1811,1873
"Roslund, mw. N.A.K., vroedvrouw",,1188,,,Scandinavia,,
"Rott, Ferdinand, zdl",1823-1859,1189,,,Germany,1823,1859
"Röttger, E.H., zdl",1801-1852+,1190,,,Germany,1801,1852+
"Royer, dr. G., arts",1889-1958,1191,,,Netherlands,1889,1958
"Rübcke, Elly",1905-2001,1192,,,Germany,1905,2001
"Ruden, C.L., zdl",1808-1842,1193,,,Germany,1808,1842
"Rudersdorf, Otto, zdl",1869-1952,1194,,,Germany,1869,1952
"Ruijssenaers, ds. Gerrit Joh.",1875-1907,1195,,,Netherlands,1875,1907
"Ruijter, H. H. de, diakones",1867-1936,1196,,,Netherlands,1867,1936
"Russmann, Annemarie",1868-..,1197,,,Germany,1868,..
"Rutgers, Jacqueline C.",1874-1951,1198,,,Netherlands,1874,1951
"Rutgers, Jeremina Fred., ond.",1882-1964,1199,,,Netherlands,1882,1964
"Ruth, E. Naomi",,1200,,,United States of America,,
"Rutkowsky, Alfred, zdl",1908-2002,1201,,,Germany,1908,2002
"Ruttink, H.C.G., zdl",1876-1958,1202,,,Netherlands,1876,1958
"Ruysch v Dugteren, E.M.H., zdl",1886-1915,1203,,,Netherlands,1886,1915
"Saathof, Daniël, ond.",1895-1957,1204,,,Netherlands,1895,1957
"Sadler, Ms. E.",,1205,,,United States of America,,
"Sande, Andrew, zdl",-1942,1206,,,United States of America,,1942
"Sandell, zr. Anna Amelia",1875-1942,1207,,,United States of America,1875,1942
"Sander, zr. Adriana Clasina",1901-1973,1208,,,Netherlands,1901,1973
"Sartor, Edmund, zdl",1883-1941,1209,,,Germany,1883,1941
"Savornin Lohman, jkvr. zr. Eli­sa­beth Johanna de",1903-Mei '45,1210,,,Netherlands,1903,Mei '45
"Schaafsma, A.O., zdl",1830-1896,1211,,,Netherlands,1830,1896
"Schaafsma-de Jong, H., ond.",1859-1923,1212,,,Netherlands,1859,1923
"Schächter, Martha",1896-1989,1213,,,Germany,1896,1989
"Schärer, dr. Hans, zdl",1904-1947,1214,,,Switzerland,1904,1947
"Scheffer, zr. Y.",1901-'66[?],1215,,,Netherlands,1901,'66[?]
"Scheffler, Johanna Bertha",1883-,1216,,,Germany,1883,
"Schekelmann, zr. Sophie",1906-1990,1217,,,Germany,1906,1990
"Schelfhorst, F., zdl",1872-1942/5,1218,,,Netherlands,1872,1942/5
"Schell, H.E.R.",,1219,,,United States of America,,
"Schelven, Maria Johanna van",1882-1934,1220,,,Netherlands,1882,1934
"Schepper, mr. dr. J.M.J.",1888-1967,1221,,,Netherlands,1888,1967
"Schernus, Martin",1879-1933,1222,,,Germany,1879,1933
