nama orang,geb/overl.,id,actual id,Unnamed: 4,origin,birthYear,deathYear
"Edborg, Ms. V.M. ()",,335,,,Sweden,,
"Eelen, H.G. van, zdl",1888-1958,336,,,Netherlands,1888,1958
"Eelsing, Hendrik (NL)",1896-1971,337,,,,1896,1971
"Eendenburg, S. van, zdl",1853-1912,338,,,Netherlands,1853,1912
"Eerland, L.D., arts",1897-1977,339,,,Netherlands,1897,1977
"Eggenberger, Agathe, ond.",1904-1991,340,,,Switzerland,1904,1991
"Eggink, H.J., zdl",1875 -1940,341,,,Netherlands,1875,1940
"Eggink, Jacoba Maria, ond.",1912-2008,342,,,Netherlands,1912,2008
"Eglin, zr. Anna Maria",1893-1970,343,,,Germany,1893,1970
"Eigen, P.K. Otto von, ond.",1888-1984,344,,,Germany,1888,1984
"Eigenbrod, Friedrich, zdl",1885-1936,345,,,Germany,1885,1936
"Eijgendaal, J., zdl",1897-1981,346,,,Netherlands,1897,1981
"Eijgenraam, Fr., ond.",1898-1967,347,,,Netherlands,1898,1967
"Eijk, ds. P.H. van",1899-1960,348,,,Netherlands,1899,1960
"Eijkhout, Anna S. van, ond.",1882-1923,349,,,Netherlands,1882,1923
"Eijkman, Koenraad Hein, arts",1898-1950,350,,,Netherlands,1898,1950
"Eklund, Rev. Abel",,351,,,United States of America,,
"Ekris, Arris van, zdl",1830-1868,352,,,Netherlands,1830,1868
"Ellen, zr Alida M.J.",1908-1970,353,,,Netherlands,1908,1970
"Ellen, G.J., zdl",1876-1957,354,,,Netherlands,1876,1957
"Ellinghaus, Emil, zdl.",1881-1952,355,,,Germany,1881,1952
"Emmerik, Adolf Th. Jac. van",1858-1924,356,,,Netherlands,1858,1924
"Emmerik-Cleverly, Alice Corn.",-1941,357,,,United Kingdom,,1941
"Endt, A. van der",1881-1969,358,,,Netherlands,1881,1969
"Endt, Johanna P. van der, ond.",1894-1920,359,,,Netherlands,1894,1920
"Engelberts, zr. A.E.W.Ch.",1898-1965,360,,,Netherlands,1898,1965
"Engelen, C.A.J. van, zdl",1873-1949,361,,,Netherlands,1873,1949
"Engelen, Mej .M.B. van, arts",1911-1977,362,,,Netherlands,1911,1977
"Engelmann, dr. W.H.",1836-1868,363,,,Netherlands,1836,1868
"Enklaar, dr. I.H., theoloog",1911-1994,364,,,Netherlands,1911,1994
"Ennis, Jacob, zdl.",,365,,,United States of America,,
"Enserinck, zr. Amalia Const.",1872-1928,366,,,Netherlands,1872,1928
"Epple, mw. A.",1909-,367,,,Germany,1909,
"Epple, Karl David, zdl.",1877-1944,368,,,Germany,1877,1944
"Eriks, Neeltje, diacones",1883-1945?,369,,,Netherlands,1883,1945?
"Erkelens, J.L., ond.",1908-1984,370,,,Netherlands,1908,1984
"Erlecke, F.K.",,371,,,Germany,,
"Erlen, Paul von, zdl.",1877-1914,372,,,Germany,1877,1914
"Essen, A. van, zdl",1877-1953,373,,,Netherlands,1877,1953
"Essen, A.Ch. van, zwm > zdl",1832-±1905,374,,,Netherlands,1832,±1905
"Esser, dr. ds. B.J.",1876-1944,375,,,Netherlands,1876,1944
"Esser, Cornélie Cath. H., ond.",1911-1945,376,,,Netherlands,1911,1945
"Esser, dr. Julius Pieter, zdl.",1852-1889,377,,,Netherlands,1852,1889
"Esser, Sam. Jonathan David",1874-1948,378,,,Netherlands,1874,1948
"Esser, Samuel Jonathan",1900-1944,379,,,Netherlands,1900,1944
"Evans, Charles, zdl.",-1869,380,,,United Kingdom,,1869
"Everaars, Pieter R., ond.",1884-1955,381,,,Netherlands,1884,1955
"Exel, Frederick Hendrik, zwm",1828-1881,382,,,Netherlands,1828,1881
"Faass, G.",,383,,,Germany,,
"Faassen, Gradus",1880-1971,384,,,Netherlands,1880,1971
"Faber, C.W., ond.",1905-1945,385,,,Netherlands,1905,1945
"Fankhauser, Ms. Rose E.",,386,,,United States of America,,
"Fast, Joh. Gerhard, zdl.",1861-1941,387,,,Russia,1861,1941
"Fast, J.J., arts",1892-1945,388,,,Germany,1892,1945
"Fastenrath, W., zdl",1906-,389,,,Germany,1906,
"Fauser, Fr. August, zwm",1827-1865,390,,,Germany,1827,1865
"Feher, K.E. von, arts",1883-,391,,,Hungary,1883,
"Fehr, Adam, zdl.",1850-1932,392,,,Germany,1850,1932
"Feige, Ernst Wilhelm, zdl.",1840-1901,393,,,Germany,1840,1901
"Feist, zr. Käthe L.A.",1892-1979,394,,,Germany,1892,1979
"Feldsieper, zr. Auguste",1891-,395,,,Germany,1891,
"Ferguson, C., zdl",1891-1934,396,,,Netherlands,1891,1934
"Fiebig, Friedrich, zdl.",1887-,397,,,Germany,1887,
"Fiedler, J.F. , zdl",1807/8-1837,398,,,Germany,1807/8,1837
"Finke, Wilhelm Heinrich, zdl.",1885-1964,399,,,Germany,1885,1964
"Finn, J., zdl.",1789-1853,400,,,Netherlands,1789,1853
"Finster, Lewis V.",1873-1977,401,,,United States of America,1873,1977
"Fischer, Friedrich, zdl.,",1880-1960,402,,,Germany,1880,1960
"Fischer, Hugo, zdl.",1883-1951,403,,,Germany,1883,1951
"Fischer, dr. Isaac Antoon, arts",1896 -1971,404,,,Netherlands,1896,1971
"Fisher, Rev. Albert H.",,405,,,United States of America,,
"Fisk, George Elba",1905-1977,406,,,United States of America,1905,1977
"Flach, Gustav Johann, zdl.",1908-,407,,,Switzerland,1908,
"Flach, J.C., arts",1884-1964,408,,,Netherlands,1884,1964
"Flender, Wilhelm, zdl.",1911-2000,409,,,Germany,1911,2000
"Flick, Alfred, zdl.",1907-1979,410,,,Germany,1907,1979
"Flückiger, P., zdl.",1895-1958,411,,,Switzerland,1895,1958
"Föhl, zr. W.M. ( Zwits.?)",1884-1939,412,,,Germany,1884,1939
"Fokkema, Hetty",1905-1986,413,,,Netherlands,1905,1986
"Fonkert, zr. H.",1887-1966,414,,,Netherlands,1887,1966
"Fortgens, Jac., zdl",1876-1955,415,,,Netherlands,1876,1955
"Franken, Carl, zdl.",1881-1942,416,,,Germany,1881,1942
"Frederiksen, K/C.",,417,,,Scandinavia,,
"Freeman, Rev. Mark",1881-1959,418,,,United States of America,1881,1959
"Freitag, Eduard, zdl.",1903-1932,419,,,Germany,1903,1932
"Frickenschmidt, Chr.W., zdl.",1856-1935,420,,,Germany,1856,1935
"Fries, Eduard, zdl.",1877-1923,421,,,Germany,1877,1923
