nama orang,geb/overl.,id
"Wood, George Alb. (Australië)",1867-1944,1586
"Woodward, Leonard H. (GB)",1883-1950,1587
"Woortman, H.D., zdl (N)",1889-1986,1588
"Worthington, Rev. Charles M. (VS)",1876-1856,1589
"Wortman, Louis M.D. (N)",1906-1945,1590
"Woude, Adriana van der (N)",1894?-,1591
"Wulp, Hendrik van der, ond. (N)",1815-1891,1592
"Wunderink, Everdina Maria (N)",1880-..,1593
IJ,,1594
"Yates, John Spain (VS)",1888-1950,1595
"IJdens, Hendrik, ond. (N)",1882-1949,1596
"IJkel, zr. Jeanna Agatha (N)",1903-,1597
"Young, Ms. Ethel (VS)",,1598
"Youngberg, Gustavus Benson (VS)",1888-1944,1599
"Youngblood, William, zdl (VS)",1808-1886,1600
"Zanten, zr. Adriana Joh. van (N)",1886-,1601
"Zegers, J.L., zdl (N)",1844-1919,1602
"Zegers Verhoeven, Elias Adr. (N) )ongehuwd gebleven?",1876-1928,1603
"Zeitter, Karolina Auguste (D)",1865-1938,1604
"Zeldam Ganswijk, D.J. ten, zdl (N)",1829/30-'69,1605
"Zenker, Clara (D) ",1877-1925,1606
"Ziegler, Julius, zdl (D)",1885-1959,1607
"Zigterman, zr. Gepke (N)",1880-1964,1608
"Zijlstra, P., zdl. (N)",1897-1973,1609
"Zimmer, Georg, zdl (D)",1826-1901,1610
"Zimmer, Woldemar, zdl (Zwits.)",1903-1994,1611
"Zimmerbeutel, zr. Anna (D)",1892-1970,1612
"Zimmerbeutel, G.A., zdl (D)",1862-1921,1613
"Zimmermann, A.H. (D)",,1614
"Zimmermann, Philipp, zdl (D)",1875-1953,1615
"Zissler, Ferdinand, zdl (D)",1875-1943,1616
"Zuidema, Jacob Popkes, ond. (N)",1860-1932,1617
"Zuidema, Pieter Jan, arts (N)",1907-1996,1618
"Zuidema, ds. dr. Sytse Ulbe (N)",1906-1975,1619
"Zuijlen, zr. A.M. van (N)",1899-1987,1620
"Zuppinger, H., verpleger, zdl (D)",± 1880-,1621
"Zwaan, A.C., arts (N)",1899-1959,1622
"Zwaan, ds. Cornelis (N)",1871-1938,1623
"Zwaan, C., zdl (N)",1909-1977,1624
"Zwaan, Corn. Laurens, arts (N)",1901-1944,1625
"Zwaan, W.J.A., zdl (N)",1881-1954,1626
"Zwerus, A.J., ond. (N)",1903-1944,1627
