nama orang,geb/overl.,id
"Eigenbrod, Friedrich, zdl (D)",1885-1936,345
"Eijgendaal, J., zdl (N)",1897-1981,346
"Eijgenraam, Fr., ond. (N)",1898-1967,347
"Eijk, ds. P.H. van (N)",1899-1960,348
"Eijkhout, Anna S. van, ond. (N)",1882-1923,349
"Eijkman, Koenraad Hein, arts (N)",1898-1950,350
"Eklund, Rev. Abel (VS?)",,351
"Ekris, Arris van, zdl (N)",1830-1868,352
"Ellen, zr Alida M.J. (N)",1908-1970,353
"Ellen, G.J., zdl (N)",1876-1957,354
"Ellinghaus, Emil, zdl. (D)",1881-1952,355
"Emmerik, Adolf Th. Jac. van (N)",1858-1924,356
"Emmerik-Cleverly, Alice Corn. (GB)",-1941,357
"Endt, A. van der (N)",1881-1969,358
"Endt, Johanna P. van der, ond. (N)",1894-1920,359
"Engelberts, zr. A.E.W.Ch. (N)",1898-1965,360
"Engelen, C.A.J. van, zdl (N)",1873-1949,361
"Engelen, Mej .M.B. van, arts (N)",1911-1977,362
"Engelmann, dr. W.H. (N)",1836-1868,363
"Enklaar, dr. I.H., theoloog (N)",1911-1994,364
"Ennis, Jacob, zdl. (VS)",,365
"Enserinck, zr. Amalia Const. (N)",1872-1928,366
"Epple, mw. A. (D)",1909-,367
"Epple, Karl David, zdl. (D)",1877-1944,368
"Eriks, Neeltje, diacones (N)",1883-1945?,369
"Erkelens, J.L., ond. (N)",1908-1984,370
"Erlecke, F.K. (D)",,371
"Erlen, Paul von, zdl. (D)",1877-1914,372
"Essen, A. van, zdl (N)",1877-1953,373
"Essen, A.Ch. van, zwm > zdl (N)",1832-±1905,374
"Esser, dr. ds. B.J. (N)",1876-1944,375
"Esser, Cornélie Cath. H., ond. (N)",1911-1945,376
"Esser, dr. Julius Pieter, zdl. (N)",1852-1889,377
"Esser, Sam. Jonathan David (N)",1874-1948,378
"Esser, Samuel Jonathan (N)",1900-1944,379
"Evans, Charles, zdl. (GB)",-1869,380
"Everaars, Pieter R., ond. (N)",1884-1955,381
"Exel, Frederick Hendrik, zwm (N)",1828-1881,382
"Faass, G. (D)",,383
"Faassen, Gradus (N)",1880-1971,384
"Faber, C.W., ond. (N)",1905-1945,385
"Fankhauser, Ms. Rose E. (VS)",,386
"Fast, Joh. Gerhard, zdl. (Rusland)",1861-1941,387
"Fast, J.J., arts (D)",1892-1945,388
"Fastenrath, W., zdl (D)",1906-,389
"Fauser, Fr. August, zwm (D)",1827-1865,390
"Feher, K.E. von, arts (Hong.)",1883-,391
"Fehr, Adam, zdl. (D)",1850-1932,392
"Feige, Ernst Wilhelm, zdl. (D)",1840-1901,393
"Feist, zr. Käthe L.A. (D)",1892-1979,394
"Feldsieper, zr. Auguste (D)",1891-,395
"Ferguson, C., zdl (N)",1891-1934,396
"Fiebig, Friedrich, zdl. (D)",1887-,397
"Fiedler, J.F. (D), zdl",1807/8-1837,398
"Finke, Wilhelm Heinrich, zdl. (D)",1885-1964,399
"Finn, J., zdl. (N)",1789-1853,400
"Finster, Lewis V. (VS)",1873-1977,401
"Fischer, Friedrich, zdl., (D)",1880-1960,402
"Fischer, Hugo, zdl. (D)",1883-1951,403
"Fischer, dr. Isaac Antoon, arts (N)", 1896 -1971,404
"Fisher, Rev. Albert H. (VS)",,405
"Fisk, George Elba (VS)",1905-1977,406
"Flach, Gustav Johann, zdl. (Zwits.)",1908-,407
"Flach, J.C., arts (N)",1884-1964,408
"Flender, Wilhelm, zdl. (D)",1911-2000,409
"Flick, Alfred, zdl. (D)",1907-1979,410
"Flückiger, P., zdl. (Zwits.)",1895-1958,411
"Föhl, zr. W.M. (D? Zwits.?)",1884-1939,412
"Fokkema, Hetty (N)",1905-1986,413
"Fonkert, zr. H. (N)",1887-1966,414
"Fortgens, Jac., zdl (N)",1876-1955,415
"Franken, Carl, zdl. (D)",1881-1942,416
"Frederiksen, K/C. (Skand.)",,417
"Freeman, Rev. Mark (VS)",1881-1959,418
"Freitag, Eduard, zdl. (D)",1903-1932,419
"Frickenschmidt, Chr.W., zdl. (D)",1856-1935,420
"Fries, Eduard, zdl. (D)",1877-1923,421
"Fries, Ms. Ruth M. (VS)",,422
"Frouws, Jac., ond. (N)",1894-1933,423
"Fuchs, Nikolaus, zdl. (D)",1877-1931,424
"Gabriel, Carl, zdl. (D)",1880-1952,425
"Gaikhorst, T.A., ond. (N)",1883-,426
"Garnerus, Annette, ond. (D)",1889-..,427
"Gazendam, zr. Grietje (N)",1891-1963,428
"Geer, jvr. zr. J.M. de, diacones (N)",1878-1945,429
"Geerdink, A., zdl (N)",1829-1878,430
"Geerse-Matze, P.I., zie Matze",,431
"Gehrels, C.A., arts (N)",1881-1921,432
"Geissler, Gustav A.W., zdl, (N)",1865-1935+,433
"Geissler, J.G. zwm (D)",1830-1870,434
"Gelder, zr. C.J.M. van (N)",,435
"Geleijnse, ds. M. (N)",1893-1985,436
"Genderen, zie van den Hoven van Genderen",,437
"Gennip, Hindrik Doewes v., zdl (N)",1822-1866,438
"Gericke, G.F.A., zdl. (D)",1801/2-'34,439
"Gericke, J.F.C. (D)",1799-1857,440
"Gericke, Paul A., zdl. (D)",1865-1926,441
"Gericke, Wilhelm Ed. Friedr., zdl (D)",1863-1940,442
"Gerlach, Georg, zdl (D)",1885-1946?,443
"Giezendanner, zr. Elise (Zwits.)",1906-1997,444
"Gijsman, P.N., zdl (N)",1844/5-1919,445
"Gillis, Walter Emslie (Canada)",1974-1954,446
"Gink, zr. J.M. van (N)",1881-1965,447
"Ginsberg, Gustav, zdl. (D)",1872-1943,448
"Glastra, zr. M. (N)",1899-1985,449
"Gnirrep, Anna (N)",,450
"Godau, Anna Rosine (D)",1888-,451
"Godwin, Mrs. (VS)",,452
"Goedhart, C., arts (N)",,453
"Goemaat, Louise (N)",1904-1992,454
"(GZbl 1931, 198; 1937, 217)",,455
"Goes, Wilhelmus van der, zwm (N)",1823-1879?,456
"Goetsch, August W.F., zdl (D)",1844-1870,457
"Gokkel, zr. Aletta Maria (N)",1874-,458
"Gonggrijp, Justus R.P.F., zdl (N)",1827-1909,459
1831-1861),,460
"Goossen, zr. Helena (Rusland)",1889-1945,461
"Goossens, ds. S.J.P. (N)",1902-1983,462
"Goris, mw. A.M., ond. (N)",,463
"Gort, zr. G. (N)",1897-,464
"Goslinga, J.J.J., arts (N)",1906-1987,465
"Gotschall, Newton I., ond. (VS)",1893-1979,466
"Göttin, J.W. (Zwits.)",,467
"Goudoever, J. van, ond. (N)",1900-1962,468
"Goudswaard, A., zdl (N)",1830-1864,469
"Gouweloos, M.J., zdl (N)",1898-1942,470
"Graaf, zr. Adriana Anneke de (N)",1906-1974,471
"Graaf, C. de, zdl (N)",1846-1905,472
"Graaf, zr. Car. Louise de (N)",-1962,473
"Graaf, dr. H.J. de, ond. (N)",1899-1984,474
"Graaf, K. de, zdl (N)",1909-1944,475
"Graafland, N., ond. (N)",1827-1898,476
"Graafstal, Dominicus (N)",1871-1927,477
"Graafstal-vd Steur, S.M. (N)",1868-1962,478
"Gräb, Karl Ludwig (Belgia)",1873-1939,479
"Gräber, Ida (D)",1980-1953,480
"Gramberg, K.P.C.A., arts (N)",1895-1996,481
"Gramberg, ds. Th.W.B.G. (N)",1897-1983,482
"Grashuis, mr. Gerhardus Jan(N)",1835-1920,483
"Grau, W. zdl (D)", 1886-1924,484
"Graumann, Wilhelm (D)",1906-2000,485
"Griebenow, Ms. Viola M. (VS)",,486
"Griffin, David (VS)",,487
"Grim(m), Johan(n) P., zwm (D)",1812-1857,488
ongehuwd gebleven,,489
"Groep, Jacob van de (N)",1885-1977,490
"Groesbeek, Cornelis (VS)",1874-1953,491
"Grohe, A., zwm (D)",1825-1891,492
"Grondel, Pieter Joh., zdl (N)",1901-1955,493
"Grondsma, zr. Hilly (N)",1898-1942/5,494
"Groot, Albertus Karel de, zdl. (N)",1896-1975,495
"Groot, J.H. de, zdl (N)",1891-1973,496
"Groot, dr. Klaas Pieter, arts (N)",1888-1965,497
"Groot, zr. W.M. de (N)",1907-1998,498
