nama orang,geb/overl.,id,actual id,Unnamed: 4,origin
"Bovenkamp, J.R. van den, zdl",1865-1901,196,,,Netherlands
"Bower, Harry C.",,197,,,United States of America
"Braches, Ernst Friedrich, zdl.",1844-1922,198,,,Germany
"Bradley, William Paul",1897-1985,199,,,United States of America
"Brakensiek, Heinrich, zdl.",1865-1933,200,,,Germany
"Braun, K., zdl.",1903-1981,201,,,Germany
"Bregenstroth, Ludwig, zdl.",1881-1961,202,,,Germany
"Bremmer, J., arts",1895-1969,203,,,Netherlands
"Bretzler, Johann, zdl",1873-1938,204,,,Germany
"Brill, John Wesley",1904-1985,205,,,United States of America
"Brilman, D., zdl.",1898-1972,206,,,Netherlands
"Brink, Henriëtte Georgine",±1900-,207,,,Netherlands
"Brink, ds. Hendrikus van den",1904-1982,208,,,Netherlands
"Brinkman, H.B., ond.",1884-1960,209,,,Netherlands
"Brinkschmidt, Friedrich, zdl.",1869-1935,210,,,Germany
"Brinkschmidt, Robert, zdl.",1873-1936,211,,,Germany
"Brockhaus, Otto, zdl.",1877-1911,212,,,Germany
"Broek, Gerardus ten, zdl.",1885 -1918,213,,,Netherlands
"Broekgaarden, G.J., ond.",1898-1942+,214,,,Netherlands
"Broekmate, Hermann, zdl.",1873-1910,215,,,Germany
"Bron, mw. Geertje",1912-2000,216,,,Netherlands
"Bronkhorst, mw. Coleta",1902-1973,217,,,Netherlands
"Brouwer, zr. E.",1889-1957,218,,,Netherlands
"Brouwer, Jacob G.",1871?-1939,219,,,Netherlands
"Brouwer, M., zdl",1845-1912,220,,,Netherlands
"Bruch, August, zdl.",1864-1953,221,,,Germany
"Brückner, Gottlob W., zdl. ,",1783-1857,222,,,Germany
"Brückner, Wilhelm, zdl.",1878-1945,223,,,Germany
"Brug Sr., O. van der, zdl",1863-1927,224,,,Netherlands
"Brug Jr., O.E. van der, zdl",1893-1985,225,,,Netherlands
"Brugghen, zr. A.E.P. van der",1889-1952,226,,,Netherlands
"Brugghen, mw. Clara M. vd",1884-1977,227,,,Netherlands
"Bruijn Azn, ds. C. de",1859-1932,228,,,Netherlands
"Bruijn, R. le, zdl",1799-1829,229,,,Netherlands
"Bruijne, Gerrit Adriaan de, arts",1906-1963,230,,,Netherlands
"Bruining, Wernard, zwm",1809-1872,231,,,Netherlands
"Brummelkamp, R., arts",1897-1994,232,,,Netherlands
"Buchanan, Rev. C.S.",,233,,,United States of America
"Buchholz, Charlotte",1866-,234,,,Germany
"Buijsman, mw. N.",,235,,,Netherlands
"Buitelaar, Leendert, arts",1907-1944,236,,,Netherlands
"Bunker, Edward J.",,237,,,United States of America
"Burger, W. Corn., arts",1912-1999,238,,,Netherlands
"Burgers, Mar. Alb., zwm",1823-1869,239,,,Netherlands
"Burgstede, E.C., zdl",1908-1979,240,,,Netherlands
"Burgt, zr. Amelia van de",,241,,,Netherlands
"Burton, Richard",-1828,242,,,United Kingdom
"Buttenaar, H.N., zdl",1787-1833,243,,,Netherlands
"Carey, Jabez, zdl.",1793-1862,244,,,United Kingdom
"Carlson, O.A.",,245,,,United States of America
"Cass, Ms. E., ond.",,246,,,United States of America
"Casteren van Cattenburgh, C.L.",1824/5-1854,247,,,Netherlands
"Cate, zr. H.F. ten,",,248,,,Netherlands
"Chadwick, Ms. Freda P.",,249,,,United States of America
"Chen, J.T.. zdl.",±1905-,250,,,China
"Cheung, F.L., zdl.",±1905-,251,,,China
"Chong, C.C., zdl.",±1905-,252,,,China
"Christiansen, Julius L.F., zdl.",1844-1934,253,,,Germany
"Chu, S.W., zdl.",±1905-,254,,,China
"Clercq, Rijnhart Willem de",1878-1939,255,,,Netherlands
"Clevering, zr. Hendrika",1890-1957,256,,,Netherlands
"Clench, Cliff David ()",±1900-1933,257,,,Canada
"Cole, J. Preston",,258,,,United States of America
"Colenbrander, ds. J.F.",1877-1964,259,,,Netherlands
"Combe, Emma C.",1812-1844,260,,,Switzerland
"Condit, Azubah C. ond.",±1810-1844,261,,,United States of America
"Coolsma, S., zdl",1840-1926,262,,,Netherlands
"Cornet, Pieter, zdl,",1879-1969,263,,,Netherlands
"Coutrier, Louise",1910-,264,,,Netherlands
"Crommelin, ds. Daniël, zdl",1879-1954,265,,,Netherlands
"Cseszkó, G., arts",1902-1945,266,,,Hungary
"Culemann, Herrmann H., zdl.",1855-1909,267,,,Germany
"Cusell, C.J., zdl",1837-1869,268,,,Netherlands
"Dabritz, Edward W., ond.",,269,,,United States of America
"Dake, W.J.L., arts",1890-1973,270,,,Netherlands
"Dalen, Marinus van, zdl",1831-1899,271,,,Netherlands
"Dam, mw. zr. C. van",,272,,,Netherlands
"Dammerboer, J., zdl",1830-1925,273,,,Netherlands
"Damschen, Joh., zdl.",1911-1966,274,,,Germany
